"","NTrials","Ne","Ngens","p","propfix","gens","time"
"1",1000,10,1e+06,0.1,0.114,35.0877192982456,46.6538181304932
"2",1000,20,1e+06,0.1,0.092,65.5108695652174,181.391705036163
"3",1000,30,1e+06,0.1,0.068,115.176470588235,309.841989040375
"4",1000,40,1e+06,0.1,0.109,157.633027522936,865.676322937012
"5",1000,50,1e+06,0.1,0.068,160.367647058824,1028.72582197189
"6",1000,60,1e+06,0.1,0.103,237.563106796117,1870.40280890465
"7",1000,70,1e+06,0.1,0.09,254.6,2134.81318688393
"8",1000,80,1e+06,0.1,0.093,311.150537634409,3071.10569691658
"9",1000,90,1e+06,0.1,0.111,335.774774774775,4060.98972392082
"10",1000,100,1e+06,0.1,0.093,354.645161290323,4714.13614392281
"11",1000,10,1e+06,0.2,0.175,33.9142857142857,82.648628950119
"12",1000,20,1e+06,0.2,0.195,69.9282051282051,297.08206319809
"13",1000,30,1e+06,0.2,0.174,106.114942528736,636.516731977463
"14",1000,40,1e+06,0.2,0.19,143.842105263158,1144.48939609528
"15",1000,50,1e+06,0.2,0.215,180.148837209302,1903.17726302147
"16",1000,10,1e+06,0.3,0.348,29.0775862068966,92.8782598972321
"17",1000,20,1e+06,0.3,0.282,68.4751773049645,357.073246002197
"18",1000,30,1e+06,0.3,0.279,100.73835125448,770.073114156723
"19",1000,40,1e+06,0.3,0.332,125.852409638554,1423.71898913383
"20",1000,50,1e+06,0.3,0.298,156.597315436242,2085.12298488617
"21",1000,10,1e+06,0.4,0.357,29.7899159663866,93.2744040489197
"22",1000,20,1e+06,0.4,0.417,59.3069544364508,407.615197896957
"23",1000,30,1e+06,0.4,0.37,86.7405405405405,871.280463933945
"24",1000,40,1e+06,0.4,0.411,113.420924574209,1467.67814207077
"25",1000,50,1e+06,0.4,0.396,157.204545454545,2370.26094698906
"26",1000,10,1e+06,0.5,0.686,19.0145772594752,76.8061051368713
"27",1000,20,1e+06,0.5,0.779,33.2939666238768,274.346098899841
"28",1000,30,1e+06,0.5,0.653,65.8269525267994,782.662470817566
"29",1000,40,1e+06,0.5,0.739,77.744248985115,1258.17651104927
"30",1000,50,1e+06,0.5,0.758,87.0540897097625,1809.07906794548
"31",1000,10,1e+06,0.6,0.814,15.9324324324324,66.4688849449158
"32",1000,20,1e+06,0.6,0.822,27.0255474452555,228.950287818909
"33",1000,30,1e+06,0.6,0.793,43.905422446406,563.536792039871
"34",1000,40,1e+06,0.6,0.77,66.3116883116883,1072.55149483681
"35",1000,50,1e+06,0.6,0.78,79.5641025641026,1651.31500387192
"36",1000,10,1e+06,0.7,0.819,15.2576312576313,64.3860509395599
"37",1000,20,1e+06,0.7,0.825,29.6969696969697,239.704874992371
"38",1000,30,1e+06,0.7,0.929,24.7987082884822,304.490613937378
"39",1000,40,1e+06,0.7,0.781,64.0473751600512,1054.41364884377
"40",1000,50,1e+06,0.7,0.857,68.2135355892649,1362.58642792702
"41",1000,10,1e+06,0.8,0.953,5.16159496327387,23.6898708343506
"42",1000,20,1e+06,0.8,0.892,21.8609865470852,184.945399999619
"43",1000,30,1e+06,0.8,0.864,37.9409722222222,459.7459461689
"44",1000,40,1e+06,0.8,0.853,48.4618991793669,818.714748859406
"45",1000,50,1e+06,0.8,0.856,60.1285046728972,1280.08314800262
"46",1000,10,1e+06,0.9,0.889,9.50506186726659,44.3305010795593
"47",1000,20,1e+06,0.9,0.894,19.6096196868009,173.3580930233
"48",1000,30,1e+06,0.9,0.901,28.6936736958935,362.165795087814
"49",1000,40,1e+06,0.9,0.925,29.8237837837838,519.970217943192
"50",1000,50,1e+06,0.9,0.927,34.5285868392665,776.998342990875
"51",1000,10,1e+06,0.15,0.145,34.3034482758621,53.6571900844574
"52",1000,20,1e+06,0.15,0.15,69.58,210.959011077881
"53",1000,30,1e+06,0.15,0.135,112.444444444444,452.026532173157
"54",1000,40,1e+06,0.15,0.167,144.425149700599,846.574950933456
"55",1000,50,1e+06,0.15,0.168,187.178571428571,1397.98770713806
"56",1000,10,1e+06,0.15,0.159,35.2389937106918,55.1633110046387
"57",1000,20,1e+06,0.15,0.166,69.6867469879518,221.385615825653
"58",1000,30,1e+06,0.15,0.152,113.552631578947,523.141371011734
"59",1000,40,1e+06,0.15,0.141,156.58865248227,842.370517969131
"60",1000,50,1e+06,0.15,0.147,168.829931972789,1261.484333992
"61",1000,10,1e+06,0.15,0.154,34.8701298701299,53.9043369293213
"62",1000,20,1e+06,0.15,0.145,72.9172413793103,218.40715098381
"63",1000,30,1e+06,0.15,0.149,108.912751677852,478.274199008942
"64",1000,40,1e+06,0.15,0.131,157.419847328244,817.509823083878
"65",1000,50,1e+06,0.15,0.147,176.952380952381,1283.57235097885
"66",1000,10,1e+06,0.15,0.132,33.7045454545455,50.9168081283569
"67",1000,20,1e+06,0.15,0.164,71.4329268292683,220.463559865952
"68",1000,30,1e+06,0.15,0.136,111.375,460.40665602684
"69",1000,40,1e+06,0.15,0.152,148.223684210526,827.493851900101
"70",1000,50,1e+06,0.15,0.161,169.67701863354,1408.80015778542
"71",1000,10,1e+06,0.15,0.15,36.8666666666667,56.5852780342102
